college_name,official_url,support_url
"National Institute of Technology, Tiruchirappalli",https://www.nitt.edu,https://www.nitt.edu/placement
"National Institute of Technology, Uttarakhand",https://www.nituk.ac.in,https://www.nituk.ac.in/placement
"National Institute of Technology, Warangal",https://www.nitw.ac.in,https://www.nitw.ac.in/placement
"Sardar Vallabhbhai National Institute of Technology, Surat",https://www.svnit.ac.in,https://www.svnit.ac.in/placement
"Visvesvaraya National Institute of Technology, Nagpur",https://www.vnit.ac.in,https://www.vnit.ac.in/placement
"Islamic University of Science and Technology Kashmir",https://www.iust.ac.in,https://www.iust.ac.in/centre-default.aspx?deptcode=ISV2vX3Mozp%2F8I7u7juyVg%3D%3D
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",http://www.nielit.gov.in/ajmer,https://www.nielit.gov.in/ajmer/content/placement-portal
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",https://www.nielit.gov.in/gorakhpur,https://www.nielit.gov.in/gorakhpur/content/placement-cell
"National Institute of Electronics and Information Technology, Patna (Bihar)",https://www.nielit.gov.in/patna,https://www.nielit.gov.in/patna/content/placement-portal
"National Institute of Electronics and Information Technology, Ropar (Punjab)",https://www.nielit.gov.in/ropar,https://www.nielit.gov.in/ropar/content/placement-portal
"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur",https://www.niftem-t.ac.in,https://www.niftem-t.ac.in/placement
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",https://www.rgnau.ac.in,https://www.rgnau.ac.in/en/contact
"Shri G. S. Institute of Technology and Science Indore",https://www.sgsits.ac.in,https://www.sgsits.ac.in
